acq_num,evt_num,windnum,time,data_ch2
0,23,24,907,21.3
0,23,24,908,25.2
0,23,24,909,24.7
0,23,24,910,27.4
0,23,24,911,23.5
0,23,24,912,25.7
0,23,24,913,25.6
0,23,24,914,28.2
0,23,24,915,31.4
0,23,24,916,26.5
0,23,24,917,26.8
0,23,24,918,30.0
0,23,24,919,29.1
0,23,24,920,24.9
0,23,24,921,25.9
0,23,24,922,30.5
0,23,24,923,27.0
0,23,24,924,28.5
0,23,24,925,28.1
0,23,24,926,28.1
0,23,24,927,27.4
0,23,24,928,30.1
0,23,24,929,32.2
0,23,24,930,27.6
0,23,24,931,28.4
0,23,24,932,25.4
0,23,24,933,28.0
0,23,24,934,25.3
0,23,24,935,32.9
0,23,24,936,26.2
0,23,24,937,25.3
0,23,24,938,28.0
0,23,24,939,26.8
0,23,24,940,30.2
0,23,24,941,26.9
0,23,24,942,24.9
0,23,24,943,26.8
0,23,24,944,27.7
0,23,24,945,29.5
0,23,24,946,27.6
0,23,24,947,28.1
0,23,24,948,28.6
0,23,24,949,26.5
0,23,24,950,31.3
0,23,24,951,27.1
0,23,24,952,34.6
0,23,24,953,28.5
0,23,24,954,33.9
0,23,24,955,33.7
0,23,24,956,24.0
0,23,24,957,26.6
0,23,24,958,27.4
0,23,24,959,27.3
0,23,25,960,24.4
0,23,25,961,29.2
0,23,25,962,25.5
0,23,25,963,27.5
0,23,25,964,24.3
0,23,25,965,24.5
0,23,25,966,25.9
0,23,25,967,24.9
0,23,25,968,24.5
0,23,25,969,28.4
0,23,25,970,25.9
0,23,25,971,23.1
0,23,25,972,26.1
0,23,25,973,29.6
0,23,25,974,25.3
0,23,25,975,30.1
0,23,25,976,27.3
0,23,25,977,29.6
0,23,25,978,23.4
0,23,25,979,23.2
0,23,25,980,24.2
0,23,25,981,27.4
0,23,25,982,25.4
0,23,25,983,28.6
0,23,25,984,28.2
0,23,25,985,27.9
0,23,25,986,27.9
0,23,25,987,21.2
0,23,25,988,26.1
0,23,25,989,25.8
0,23,25,990,27.6
0,23,25,991,26.6
0,23,25,992,25.1
0,23,25,993,24.7
0,23,25,994,24.3
0,23,25,995,32.1
0,23,25,996,28.5
0,23,25,997,26.7
0,23,25,998,25.7
0,23,25,999,25.7
0,23,25,1000,30.0
0,23,25,1001,27.3
0,23,25,1002,26.6
0,23,25,1003,24.8
0,23,25,1004,24.4
0,23,25,1005,26.5
0,23,25,1006,28.2
0,23,25,1007,29.3
0,23,25,1008,26.7
0,23,25,1009,29.4
0,23,25,1010,24.6
0,23,25,1011,29.8
0,23,25,1012,28.5
0,23,25,1013,27.2
0,23,25,1014,24.3
0,23,25,1015,24.4
0,23,25,1016,22.5
0,23,25,1017,26.6
0,23,25,1018,26.1
0,23,25,1019,24.8
0,23,25,1020,25.6
0,23,25,1021,24.6
0,23,25,1022,26.8
0,23,25,1023,30.1
0,23,26,1024,28.6
0,23,26,1025,27.0
0,23,26,1026,31.4
0,23,26,1027,26.2
0,23,26,1028,28.5
0,23,26,1029,28.7
0,23,26,1030,25.2
0,23,26,1031,30.5
0,23,26,1032,29.9
0,23,26,1033,26.9
0,23,26,1034,23.2
0,23,26,1035,22.3
0,23,26,1036,26.8
0,23,26,1037,22.7
0,23,26,1038,24.3
0,23,26,1039,24.3
0,23,26,1040,25.8
0,23,26,1041,31.9
0,23,26,1042,26.8
0,23,26,1043,24.3
0,23,26,1044,30.7
0,23,26,1045,30.2
0,23,26,1046,28.7
0,23,26,1047,31.7
0,23,26,1048,27.0
0,23,26,1049,21.8
0,23,26,1050,26.7
0,23,26,1051,22.6
0,23,26,1052,23.3
0,23,26,1053,26.6
0,23,26,1054,32.3
0,23,26,1055,23.7
0,23,26,1056,27.3
0,23,26,1057,30.2
0,23,26,1058,28.4
0,23,26,1059,31.2
0,23,26,1060,27.8
0,23,26,1061,28.7
0,23,26,1062,30.0
0,23,26,1063,29.6
0,23,26,1064,24.2
0,23,26,1065,28.4
0,23,26,1066,24.2
0,23,26,1067,29.1
0,23,26,1068,28.2
0,23,26,1069,25.5
0,23,26,1070,27.4
0,23,26,1071,29.8
0,23,26,1072,25.5
0,23,26,1073,23.8
0,23,26,1074,30.3
0,23,26,1075,25.4
0,23,26,1076,30.7
0,23,26,1077,25.9
0,23,26,1078,26.9
0,23,26,1079,29.6
0,23,26,1080,27.4
0,23,26,1081,29.5
0,23,26,1082,27.4
0,23,26,1083,30.3
0,23,26,1084,22.3
0,23,26,1085,23.7
0,23,26,1086,28.8
0,23,26,1087,26.7
0,23,27,1088,27.1
0,23,27,1089,27.3
0,23,27,1090,25.2
0,23,27,1091,25.8
0,23,27,1092,26.3
0,23,27,1093,24.8
0,23,27,1094,24.4
0,23,27,1095,23.5
0,23,27,1096,25.5
0,23,27,1097,27.0
0,23,27,1098,28.8
0,23,27,1099,25.0
0,23,27,1100,27.3
0,23,27,1101,32.0
0,23,27,1102,28.8
0,23,27,1103,28.1
0,23,27,1104,22.6
0,23,27,1105,25.4
0,23,27,1106,24.7
0,23,27,1107,22.8
0,23,27,1108,32.3
0,23,27,1109,24.5
0,23,27,1110,25.5
0,23,27,1111,25.3
0,23,27,1112,24.1
0,23,27,1113,24.7
0,23,27,1114,26.2
0,23,27,1115,28.8
0,23,27,1116,24.1
0,23,27,1117,27.1
0,23,27,1118,25.5
0,23,27,1119,27.2
0,23,27,1120,28.3
0,23,27,1121,29.3
0,23,27,1122,27.8
0,23,27,1123,24.5
0,23,27,1124,24.0
0,23,27,1125,27.3
0,23,27,1126,21.1
0,23,27,1127,24.8
0,23,27,1128,28.9
0,23,27,1129,28.0
0,23,27,1130,27.8
0,23,27,1131,29.0
0,23,27,1132,28.5
0,23,27,1133,28.0
0,23,27,1134,27.3
0,23,27,1135,26.6
0,23,27,1136,27.6
0,23,27,1137,23.3
0,23,27,1138,28.2
0,23,27,1139,26.3
0,23,27,1140,26.5
0,23,27,1141,23.2
0,23,27,1142,26.4
0,23,27,1143,28.0
0,23,27,1144,26.6
0,23,27,1145,25.7
0,23,27,1146,26.1
0,23,27,1147,27.8
0,23,27,1148,24.8
0,23,27,1149,30.7
0,23,27,1150,29.0
0,23,27,1151,25.5
0,23,28,1152,26.7
0,23,28,1153,32.5
0,23,28,1154,28.8
0,23,28,1155,29.7
0,23,28,1156,26.4
0,23,28,1157,25.8
0,23,28,1158,25.9
0,23,28,1159,24.0
0,23,28,1160,29.5
0,23,28,1161,27.8
0,23,28,1162,25.2
0,23,28,1163,24.2
0,23,28,1164,19.5
0,23,28,1165,22.9
0,23,28,1166,25.2
0,23,28,1167,23.3
